,Wine,Description,Vintage,Price,Score,Model Rating
47,Nigl Grüner Veltliner Niederösterreich Freiheit-,"Grass and pine aromas and flavors predominate, with peach, grapefruit and floral notes underneath. Fine balance and persistence here, ending with mouthwatering notes of peach, flowers and mineral. Drink now through 2024. 1,000 cases imported. —BS",2016,$20 ,91.0,3
48,Domaine Gerovassiliou Malagousia Epanomi Single Vineyard-,"A lovely nose of floral and citrus notes leads to expressive flavors of ruby red grapefruit granita and ripe yellow peach in this well-cut, light- to medium-bodied white. Lithe and lingering on the minerally finish. Drink now through 2023. 6,700 cases made. —AN",2016,$23 ,91.0,3
49,The Four Graces Pinot Noir Willamette Valley-,"An expressive and supple version, with a complex core of lively tannins and acidity, plus accents of black cherry, cinnamon and spice that linger toward the minerally finish. Drink now through 2024. 14,140 cases made. —TF",2015,$32 ,93.0,4
50,Radikon Venezia-Giulia Slatnik S Label-,"Like walking through a Turkish bazaar, this wafts spice and citrus notes that pull you into the glass, while vibrant, lightly zesty acidity and light tannins form a firm, well-knit frame for the spiced range of glazed apricot, kumquat, spun honey, rose and mint flavors. Long and intriguing. Chardonnay and Friulano. Drink now through 2030. 400 cases made. —AN",2015,$35 ,95.0,4
51,Domaine des Baumard Quarts de Chaume-,"Waves of creamed Jonagold apple, Cavaillon melon, mirabelle plum, mango and white peach flavors provide thrilling range, while flashes of honeysuckle and verbena add detail and focus throughout. Unctuous yet pure, sweet yet invigorating, with an inner brightness that matches the outward hedonism. Best from 2020 through 2045. 100 cases imported. —JM",2015,$80 ,98.0,3
52,Sequoia Grove Cabernet Sauvignon Napa Valley-,"Rich, smoky oak and plump dark berry, mocha, cedar and sage flavors form an enticing mouthful, supported by a supple, caressing texture, ending long and full. Drink now through 2030. 18,106 cases made. —JL",2015,$42 ,93.0,4
53,Terre del Barolo Barolo Undicicomuni Arnaldo Rivera-,"The sweet fruit and solid structure play off each other as this evolves. Starts with floral, cherry, strawberry and licorice flavors, melding into the firm, resonant tannins as the finish extends. Complex, balanced and set for a long life. Best from 2022 through 2036. 4,150 cases made. —BS",2013,$30 ,93.0,4
54,Château Beau-Séjour Bécot St.-Emilion-,"This brims with ripe, juicy plum, blackberry and açaí berry flavors, studded with licorice and fruitcake notes and backed by a nicely integrated apple wood detail through the finish. Pumps a lot of fruit out but does so energetically. Best from 2020 through 2035. 6,250 cases made. —JM",2015,$65 ,95.0,3
55,Yalumba Viognier South Australia The Y Series-,"Lemon, chamomile and spicy nectarine flavors are fresh and vibrant, set on a crisp body, finishing spicy and refreshing, with plenty of intensity. Drink now. 19,000 cases imported. —MW",2017,$13 ,90.0,3
56,Hamilton Russell Chardonnay Hemel-en-Aarde Valley-,"Melon, yellow apple, white peach and quince flavors give this an opulent feel, harnessed by honeysuckle and quinine accents through the finish, showing refinement and length in the end. Drink now through 2021. 2,100 cases imported. —JM",2017,$40 ,93.0,3
57,Vasse Felix Cabernet Sauvignon Margaret River Filius-,"Opens with a fresh green accent reminiscent of tomato leaf and sage, giving a savory, peppery note to the plush, velvety cassis and plum core. Finds balance between grace and power, with spice and herb elements lingering on the finish. Drink now through 2028. 800 cases imported. —MW",2015,$27 ,92.0,3
58,R. López de Heredia Viña Tondonia Rioja White Viña Gravonia Crianza-,"Rich and firm, this white shows complex flavors of dried apple, creamed pear, heather, white tea, coconut and vanilla. Juicy acidity and light tannins keep this focused, providing structure for the long haul. A lovely example of the traditional style. Drink now through 2026. 1,791 cases made. —TM",2008,$36 ,93.0,4
59,Fontodi Chianti Classico Vigna del Sorbo Gran Selezione-,"This is concentrated and monolithic, with blackberry and black cherry flavors augmented by tar, tobacco and iron notes. Offers excellent potential, but needs time to absorb the tannins. Powerful, showing fine length. Best from 2023 through 2040. 1,800 cases made. —BS",2015,$89 ,95.0,4
60,Merlin Mâcon-La Roche Vineuse-,"Complex, exhibiting saline and mineral elements, along with white peach, apple and spice flavors. Beautifully balanced and focused, remaining intense and long on the juicy finish. Drink now through 2024. 500 cases imported. —BS",2016,$25 ,92.0,4
61,Joel Gott Sauvignon Blanc California-,"Juicy pear, peach and citrus flavors are bright and smooth, with a touch of dried chamomile and lemon verbena lingering on the finish. Impressive for the focus and aromatic detail. Drink now. 96,700 cases made. —MW",2017,$15 ,90.0,3
62,Château Gloria St.-Julien-,"Well-steeped plum, fig and boysenberry fruit is richly layered, supported by embedded brambly grip and backed by waves of ganache and sweet tobacco on the finish. This has plenty of energy to carry it in the cellar while it rounds into form. Best from 2023 through 2038. 18,333 cases made. —JM",2015,$44 ,93.0,4
63,Terra Santa Île de Beauté White-,"A bright and distinctive white, offering lively lemon zest, honeysuckle, quinine and tangerine notes mixed together, with good zip. Drink now. 22,000 cases made. —JM",2017,$15 ,90.0,3
64,Bodega El Esteco Malbec Calchaquí Valley Don David Reserve-,"Dried red fruit flavors are lively, offering a surplus of rich, dried savory herb notes. Accents of hot stone and white pepper flood the finish. Drink now through 2023. 110,000 cases made. —KM",2017,$16 ,90.0,3
65,Peter Lauer Riesling Qualitätswein Feinherb Mosel Barrel X-,"A lithe white, showing fine clarity and focus, with orange blossom aromas followed by kumquat and nectarine notes on the palate. Off-dry, offering ample acidity for balance, with a mineral-infused finish. Drink now through 2020. 1,000 cases imported. —AZ",2016,$22 ,91.0,3
66,Tiefenbrunner Pinot Grigio Vigneti delle Dolomiti-,"This balanced, light-bodied white offers a lively mix of peach, passion fruit, floral and pink grapefruit zest notes, with tangy acidity and a floral finish. Drink now through 2021. 25,800 cases made. —AN",2017,$16 ,90.0,3
67,Louis Jadot Bourgogne-,"Infused with graphite and cherry aromas and flavors, this red is expressive and silky, with a good underlying structure for balance. Drink now through 2023. 35,000 cases imported. —BS",2015,$19 ,90.0,3
68,Bookwalter Cabernet Sauvignon Columbia Valley Readers-,"Polished yet appealingly brawny, with floral black cherry, toasted spice and bittersweet chocolate flavors that take on momentum toward refined tannins. Drink now through 2026. 3,405 cases made. —TF",2015,$28 ,92.0,3
69,Concha y Toro Carmenère Peumo Serie Riberas Gran Reserva-,"This boasts richly spiced aromas, with flavors to match, as well as dried raspberry, portobello mushroom and currant elements. Dried beef notes on the powerful finish. Drink now through 2021. 33,000 cases made. —KM",2016,$17 ,90.0,3
70,Odette Cabernet Sauvignon Stags Leap District-,"Beautifully crafted, rich and polished, with a dense core of dark berry, mocha, cedar, crushed rock and licorice flavors, combining power and finesse in an impressive showing. Drink now through 2034. 2,324 cases made. —JL",2015,$140 ,95.0,4
71,Casa Ferreirinha Douro White Papa Figos-,"Aromatic, with notes of beeswax and almond flanking the lemon curd, pureed mango and peach flavors of this medium- to full-bodied white. Spice, herb and mineral details cascade into the long, creamy finish. Drink now through 2019. 20,000 cases made. —GS",2016,$18 ,90.0,3
72,Prà Soave Classico Otto-,"A lively, lithe white, with lovely lime blossom, pink grapefruit sorbet, stone and spice notes that linger on the mouthwatering finish. Drink now through 2022. 22,500 cases made. —AN",2017,$20 ,90.0,3
73,Big Table Farm Pinot Noir Willamette Valley-,"Effortlessly elegant and complex, with vibrant rose petal, savory smoke and raspberry accents that glide along a silky texture toward the long finish. Drink now through 2024. 1,835 cases made. —TF",2016,$45 ,93.0,4
74,Schloss Gobelsburg Grüner Veltliner Kamptal-,"An aromatic style, boasting lilac and freesia accents. Apple and grapefruit notes prevail as this elegant white winds down on the graceful finish. Drink now through 2023. 3,700 cases imported. —BS",2016,$20 ,90.0,3
75,La Stoppa Emilia Trebbiolo-,"A pure beam of juicy black currant is underscored by woodsy spice, licorice and tea rose notes in this bright and appealing, medium-bodied red, with light tannins. Barbera and Bonarda. Drink now through 2023. 2,216 cases made. —AN",2014,$22 ,91.0,3
76,A. Clape Cornas-,"This has it all, from the dark, dense core of steeped fig, blackberry and black currant fruit to the smoldering charcoal, dark olive and singed bay leaf notes. Violet and white pepper nuances add lift before a prodigious warm cast-iron element provides spine on the finish. A brick house that will live for quite some time. Best from 2025 through 2045. 230 cases imported. —JM",2015,$140 ,98.0,4
77,Landmark Chardonnay Sonoma County Overlook-,"Well-built and rich, with a solid core of apple pastry, fig and guava flavors that offer a creamy texture. Nutmeg and clove notes show on the spicy finish. Drink now through 2022. 30,000 cases made. —KM",2016,$25 ,91.0,3
78,Henri Gouges Nuits-St.-Georges Clos des Porrets St.-Georges-,"This red combines flavors of cherry, currant, spice and mineral with a core of sweet fruit, a silky texture and firm, chalky tannins. Finishes on the chewy side, with mouthcoating but not astringent tannins. Best from 2023 through 2040. 400 cases imported. —BS",2015,$94 ,95.0,3
79,Beringer Cabernet Sauvignon Knights Valley-,"Firm, rich and tightly focused on a core of vivid dark berry, light mocha and cedar flavors, finishing long and layered. A real treat. Drink now through 2026. 85,000 cases made. —JL",2015,$36 ,92.0,3
80,Librandi Val di Neto White Critone-,"Fresh and floral, with lime blossom, kiwifruit, peach and blood orange sorbet flavors, this medium-bodied white is backed by vibrant acidity and lingers with spice and graphite accents. Chardonnay with Sauvignon Blanc. Drink now through 2021. 30,000 cases made. —AN",2017,$15 ,90.0,3
81,Pendulum Cabernet Sauvignon Columbia Valley-,"Sleek and well-defined, with expressive black cherry and savory spice flavors that finish with polished tannins. Drink now through 2023. 11,500 cases made. —TF",2016,$19 ,90.0,3
82,HW Wine Company Languedoc Rosé Diving Into Hampton Water-,"A nicely crafted rosé, with a hint of creamy richness lining the strawberry, melon and white cherry flavors. A dash of minerality imparts depth through the long, mouthwatering finish. A crowd-pleaser. Grenache, Cinsault, Mourvèdre and Syrah. Drink now. 35,000 cases made. —GS",2017,$25 ,90.0,4
83,Château Ducru-Beaucaillou St.-Julien-,"Showy, with layers of warmed fig, roasted mesquite, black tea, incense and Turkish coffee notes, followed by waves of lush cassis, blackberry and raspberry confiture flavors. This has a graphite grounding rod, a tarry spine and riveting licorice snap details to keep it driving along. A head-turner for sure. Best from 2025 through 2045. 7,500 cases made. —JM",2015,$177 ,97.0,4
84,Sleight of Hand Syrah Columbia Valley Levitation-,"Polished and expressive, with blackberry, smoky sweet anise and cracked pepper flavors that take on richness toward refined tannins. Drink now through 2024. 750 cases made. —TF",2015,$45 ,93.0,3
85,Massican Annia Napa Valley-,"A complex and inviting white, showing intricate nuances of roasted almond, matcha, honeysuckle and orange zest, mingling with supple, juicy Asian pear, tangerine and ripe melon notes. The smooth texture and a thread of acidity add to the appeal. Ribolla Gialla, Tocai Friulano and Chardonnay. Drink now. 1,128 cases made. —MW",2017,$30 ,92.0,4
86,Golan Heights Winery Cabernet Sauvignon Galilee Yarden-,"A sinewy, full-bodied red, with balsamic acidity gliding through the black olive, currant and eucalyptus flavors. Spice, mineral and leather details gain traction into the long finish. Cabernet Sauvignon, Merlot and Cabernet Franc. Kosher. Drink now through 2023. 23,486 cases made. —GS",2014,$33 ,91.0,4
87,Paolo Scavino Barolo-,"This starts out with plenty of cherry, plum and orange peel flavors, offset by iron, eucalyptus and tobacco accents. The finish is rustic, with the tannins flexing their muscles, yet this comes together in the end. A wine for the long haul. Best from 2023 through 2040. 2,500 cases made. —BS",2014,$49 ,93.0,4
88,Lucienne Pinot Noir Santa Lucia Highlands Doctor's Vineyard-,"Rich and layered, with plump, juicy wild berry, raspberry, blackberry jam and cedar flavors. A full and complete style that touches all the bases. Drink now through 2025. 777 cases made. —JL",2016,$50 ,93.0,3
89,Domaine St.-Préfert Châteauneuf-du-Pape Auguste Favier Réserve-,"This is beautifully rendered, with a core of focused red currant, plum and raspberry coulis flavors that stretches out nicely while flecks of tobacco, bergamot and singed sandalwood weave around. A bolt of iron detail shows through the finish, with a light echo of worn leather. Well-built, showing ample energy in reserve. Best from 2020 through 2040. 1,400 cases made. —JM",2016,$62 ,97.0,4
90,Ridge Lytton Springs Dry Creek Valley-,"Briary and subtly potent, with floral black raspberry and licorice aromas and zesty, well-built dark cherry, smoky anise and pepper flavors that finish with ripe tannins. Zinfandel, Petite Sirah, Carignane and Mourvèdre. Best from 2019 through 2024. 9,750 cases made. —TF",2015,$40 ,92.0,3
91,Sadie Family Skerpioen Swartland-,"Intense and still youthfully tight, with verbena and white peach notes leading the way for yellow apple, chamomile, white ginger and jasmine flavors. A lovely quinine streak is well-embedded, giving this tension and vibrancy through the finish. Chenin Blanc and Palomino. Drink now through 2024. 406 cases made. —JM",2016,$60 ,95.0,3
92,Carol Shelton Rosé Wild Thing Rendezvous Mendocino County-,"A spirited California rosé, with lively raspberry, cherry and spice flavors that dance along the finish. Carignane, Zinfandel and Cabernet Sauvignon. Drink now. 1,616 cases made. —TF",2017,$15 ,90.0,3
93,Matervini Malbec Luján de Cuyo Finca Perdriel-,"Big, rich and full-bodied, with inky accents to the ripe dark plum, cherry and blackberry flavors. Black licorice notes show midpalate, with mocha and dark chocolate details on the dense finish. Drink now through 2022. 336 cases made. —KM",2015,$90 ,94.0,3
94,Ghost Pines Pinot Noir Yolo-Sonoma-Monterey Counties Winemaker's Blend-,"Complex and spicy, offering wild plum, blackberry, spice and tea flavors that show subtle herb shadings, ending with dusty, loamy tannins and good length. Drink now through 2023. 13,000 cases made. —JL",2016,$23 ,90.0,3
95,Tabarrini Montefalco Sagrantino Colle alle Macchie-,"There's a pleasing creaminess to the intense tannins of this harmonious, full-bodied red, offering crushed cassis and black raspberry fruit that shows accents of lavender and rosemary, with licorice, espresso and loamy earth notes. An iron fist in a velvet glove, this should unfurl beautifully with age. Best from 2020 through 2035. 175 cases made. —AN",2013,$75 ,95.0,4
96,Drouhin Oregon Roserock Chardonnay Eola-Amity Hills-,"Polished and refined, with expressive apple, ripe cantaloupe and spice flavors that take on richness on the long finish. Drink now through 2020. 2,866 cases made. —TF",2016,$35 ,91.0,3
97,Loring Pinot Noir Sta. Rita Hills-,"Powerful, focused and well-spiced, with flavors of dark cherry, plum tart and dried beef that lengthen out nicely. Pastry notes linger midpalate, leading to a finish of cola nut and chocolate nib accents. Drink now through 2022. 900 cases made. —KM",2016,$38 ,92.0,3
98,Cleto Chiarli e Figli Lambrusco di Sorbara del Fondatore-,"A well-knit rosé Lambrusco, featuring a fine, lively mousse and a bright mix of crushed raspberry, crunchy peach, dried thyme and rose petal notes, with a tangy finish of citrus zest and spice. Drink now through 2020. 5,000 cases made. —AN",2016,$17 ,90.0,3
99,Foley Johnson Meritage Rutherford-,"Bordeaux-like, offering an expansive mix of currant, cedar, cigar box, riverbed and tobacco leaf flavors. Cabernet Sauvignon, Merlot, Petit Verdot, Malbec and Cabernet Franc. Best from 2020 through 2032. 1,429 cases made. —JL",2014,$45 ,92.0,3
